5,965,30,32,45,40,19,31,9
5,965,2,29,25,28,13,36,34
1,966,42,23,5,6,22,44,8
1,966,21,37,25,34,29,1,36
1,967,1,42,19,17,22,14,28
1,967,6,37,13,1,38,40,9
4,968,39,31,38,35,2,24,11
4,968,39,24,2,12,5,14,33
3,969,26,45,27,4,36,15,5
3,969,45,9,29,40,3,10,7
4,970,32,27,20,33,42,10,24
4,970,21,28,11,36,16,9,5
3,971,21,20,8,31,24,11,37
3,971,17,2,21,26,18,6,7
1,972,12,27,16,26,35,20,6
1,972,37,17,39,23,3,6,26
4,973,5,28,23,9,16,15,25
4,973,26,22,41,42,31,37,24
4,974,4,8,38,36,27,29,26
4,974,2,16,44,11,1,39,32
3,975,5,43,45,11,32,17,22
3,975,9,17,8,22,24,7,5
5,976,10,21,31,20,3,12,25
5,976,25,35,14,12,4,37,2
2,977,11,27,29,31,6,15,8
2,977,44,22,14,9,2,10,16
4,978,13,41,23,3,31,28,29
4,978,7,15,34,1,32,42,8
1,979,29,45,34,8,32,3,35
1,979,33,7,11,16,27,21,24
1,980,15,6,29,12,32,19,41
1,980,16,23,3,13,35,24,14
4,981,25,13,23,9,18,16,12
4,981,27,45,43,41,37,36,32
